,Expected Annual Damage,Expected Number of Deaths,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,Expected Evacuation Costs
11487,105362791.66413656,0.03337660535764352,0.033197451396716475,104472728.84957506,3162.248797599576
11488,88578567.02291243,0.027910450312648237,0.027854728575226896,88300814.78034563,2679.963740963676
11489,91018758.92695433,0.02876540833991942,0.027029242970954805,85904808.65878533,2735.0454958002306
11490,88578567.02291243,0.027910450312648237,0.027854728575226896,88300814.78034563,2679.963740963676
11491,41620298.13976535,0.00667626458082567,0.0,0.0,1467.93816400313
11492,21252619.72979654,0.006809985741879712,0.00675426400445837,20974867.487229742,629.272719846279
11493,88578567.02291243,0.027910450312648237,0.027854728575226896,88300814.78034563,2679.963740963676
11494,1524121.6938255762,0.0002691383739633432,0.0,0.0,50.76388935076087
11495,7020258.246568958,0.001278712662119313,0.0,0.0,228.3251135774679
11496,1524121.6938255762,0.0002691383739633432,0.0,0.0,50.76388935076087
11497,18017423.941941783,0.005832200123087557,0.0,0.0,466.0303031652624
11498,1524121.6938255762,0.0002691383739633432,0.0,0.0,50.76388935076087
11499,3038741.883679071,0.0005218710820806257,0.0,0.0,103.27344117530504
11500,1524121.6938255762,0.0002691383739633432,0.0,0.0,50.76388935076087
11501,19021089.150382098,0.0060026093355160385,0.0,0.0,500.39531667199395
11502,32150722.415793836,0.009954706014516578,0.0,0.0,850.2928969818763
11503,8181793.613446098,0.0014874552284281125,0.0,0.0,266.5007577999339
