,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Expected Number of Deaths
120,2589496547.860319,1.8894938424071288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8894938424071288
121,1604987315.037525,1.039820982670384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039820982670384
122,29879237.235870767,0.02813636728312028,32520492.95101939,0.04044044121248021,435893717.2741079,0.9911471257893959,21161139.293918,0.012777986769820688,0.0,0.0,0.0,0.0,1.0725019210548172
123,1875541945.9502268,1.008224667919162,0.0,0.0,0.0,0.0,46522242.89522081,0.0155061554482861,0.0,0.0,0.0,0.0,1.023730823367448
124,1379743558.867045,1.1586471364827102,19559145.892300323,0.02229072091141164,0.0,0.0,24114857.07689514,0.0134067673940893,0.0,0.0,0.0,0.0,1.194344624788211
125,38081670.22913673,0.027829540791709188,1021858836.8814566,0.8728639404534051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9006934812451143
126,34961658.78830168,0.02845390622646874,99804866.32041147,0.10468769239568029,503271607.6876025,0.9840139770401128,119879909.04211459,0.0570054682328022,0.0,0.0,0.0,0.0,1.174161043895064
127,34444721.15976548,0.028091116374856263,23996500.198381573,0.026095896061137182,153980548.15790275,0.3105412336040128,39528323.041367374,0.021037129165039734,0.0,0.0,0.0,0.0,0.385765375205046
128,93832501.47645992,0.06619617604995634,135093404.548718,0.12352307372640037,1350808846.9671237,2.278661632760028,0.0,0.0,242597656.14436775,0.20977269348700053,0.0,0.0,2.678153576023385
129,0.0,0.0,80647655.02235913,0.10474407159436089,588045401.126702,1.4126065936685002,0.0,0.0,19121739.07517383,0.02328251680964307,0.0,0.0,1.540633182072504
130,92716989.5613794,0.06686535247048678,132860543.50926942,0.12440612281602972,1398419297.0729907,2.4056475700247333,0.0,0.0,165703572.52502733,0.14040420100657136,0.0,0.0,2.737323246317821
